Service Center,Google Maps Link,Instructions, Site Image
"Tesla Service Oakleigh South","https://maps.app.goo.gl/Gyak5PyWkhMp8Cpu9","Upon arrival, please drive your vehicle into the driveway and proceed to the check-in desk at the front.",tesla_service_oakleigh_south.png
"Tesla Service Melbourne - Richmond","https://maps.app.goo.gl/duwpKb8GPdBgJbMp8","Special entrance instructions for Richmond."
"Tesla Service Nunawading","https://maps.app.goo.gl/6PW1upHv8UPQEuUk8","Special entrance instructions for Nunawading."
"Tesla Service West Footscray","https://maps.app.goo.gl/fGZJGmCtdP8ZVn4x7","Special entrance instructions for West Footscray."
